Week,air pollution,air purifier,air quality,air filter
2015-12-27,7,5.9405940594059405,0,30.693069306930692
2016-01-03,11,4.9504950495049505,0,25.742574257425744
2016-01-10,11,4.9504950495049505,0,22.77227722772277
2016-01-17,10,4.9504950495049505,0,22.77227722772277
2016-01-24,13,3.96039603960396,0,24.752475247524753
2016-01-31,12,4.9504950495049505,0,25.742574257425744
2016-02-07,13,5.9405940594059405,0,28.712871287128714
2016-02-14,13,5.9405940594059405,0,31.683168316831683
2016-02-21,14,4.9504950495049505,0,29.702970297029704
2016-02-28,18,4.9504950495049505,0,27.722772277227723
2016-03-06,15,4.9504950495049505,0,26.73267326732673
2016-03-13,14,3.96039603960396,0,28.712871287128714
2016-03-20,11,4.9504950495049505,0,27.722772277227723
2016-03-27,16,4.9504950495049505,0,26.73267326732673
2016-04-03,15,4.9504950495049505,0,27.722772277227723
2016-04-10,16,4.9504950495049505,0,27.722772277227723
2016-04-17,18,4.9504950495049505,0,30.693069306930692
2016-04-24,19,4.9504950495049505,0,26.73267326732673
2016-05-01,20,4.9504950495049505,0,30.693069306930692
2016-05-08,19,4.9504950495049505,0,27.722772277227723
2016-05-15,17,4.9504950495049505,0,29.702970297029704
2016-05-22,17,3.96039603960396,0,31.683168316831683
2016-05-29,13,4.9504950495049505,0,29.702970297029704
2016-06-05,9,4.9504950495049505,0,32.67326732673267
2016-06-12,7,3.96039603960396,0,29.702970297029704
2016-06-19,7,3.96039603960396,1,38.613861386138616
2016-06-26,6,3.96039603960396,0,39.6039603960396
2016-07-03,5,3.96039603960396,0,31.683168316831683
2016-07-10,8,4.9504950495049505,0,31.683168316831683
2016-07-17,7,3.96039603960396,1,34.65346534653465
2016-07-24,8,3.96039603960396,2,38.613861386138616
2016-07-31,8,3.96039603960396,1,39.6039603960396
2016-08-07,6,3.96039603960396,1,32.67326732673267
2016-08-14,5,3.96039603960396,1,32.67326732673267
2016-08-21,8,3.96039603960396,1,31.683168316831683
2016-08-28,8,3.96039603960396,0,36.633663366336634
